card_0, card_1, card_2, card_3, card_4, start_colour, result, red_pawn_count, blue_pawn_count, num_turns
73792, 66816, 278592, 4194432, 131392, 0, 4, 4, 4, 4
328000, 131392, 272448, 557376, 278592, 0, 4, 4, 4, 16
557376, 76032, 337920, 278592, 148480, 0, 4, 3, 4, 10
327808, 272448, 337920, 557376, 264448, 0, 4, 4, 4, 10
73792, 141312, 66816, 278592, 327808, 1, 4, 4, 4, 7
272448, 73792, 264448, 141312, 337920, 1, 4, 1, 3, 35
328000, 4194432, 73792, 337920, 131392, 1, 3, 2, 4, 15
264448, 66816, 272448, 131392, 327808, 0, 4, 4, 4, 8
557376, 264448, 139392, 4194432, 141312, 0, 4, 3, 4, 12
4194432, 337920, 327808, 66816, 131392, 1, 3, 4, 4, 5
