card_0, card_1, card_2, card_3, card_4, start_colour, result, red_pawn_count, blue_pawn_count, num_turns
73792, 66816, 278592, 4194432, 131392, 0, 4, 4, 4, 4
148480, 76032, 264448, 141312, 278592, 1, 4, 3, 3, 29
557376, 76032, 133248, 131392, 148480, 0, 4, 4, 4, 12
76032, 66816, 337920, 148480, 557376, 1, 2, 3, 4, 20
73792, 327808, 272448, 337920, 264448, 1, 4, 4, 4, 15
327808, 278592, 133248, 328000, 76032, 1, 4, 2, 2, 73
557376, 148480, 139392, 141312, 73792, 1, 1, 0, 2, 82
76032, 141312, 272448, 139392, 4194432, 0, 3, 1, 3, 28
337920, 278592, 141312, 139392, 264448, 1, 4, 2, 2, 97
264448, 139392, 278592, 337920, 133248, 1, 3, 1, 0, 97
73792, 141312, 133248, 4194432, 139392, 0, 2, 3, 1, 45
264448, 131392, 73792, 557376, 328000, 0, 3, 2, 1, 50
272448, 278592, 557376, 131392, 337920, 0, 3, 3, 4, 20
272448, 264448, 76032, 148480, 327808, 0, 4, 3, 4, 24
278592, 73792, 328000, 131392, 66816, 1, 2, 3, 4, 34
148480, 327808, 141312, 337920, 328000, 0, 2, 3, 4, 21
76032, 73792, 139392, 264448, 327808, 0, 2, 4, 3, 9
131392, 557376, 148480, 4194432, 66816, 1, 3, 2, 1, 33
66816, 264448, 557376, 131392, 139392, 0, 2, 4, 4, 9
337920, 131392, 139392, 278592, 73792, 0, 2, 1, 1, 53
328000, 76032, 73792, 557376, 66816, 1, 4, 4, 4, 9
328000, 73792, 139392, 327808, 4194432, 0, 1, 1, 1, 39
328000, 73792, 278592, 139392, 131392, 0, 4, 4, 3, 6
272448, 66816, 139392, 131392, 337920, 1, 2, 2, 3, 38
4194432, 328000, 133248, 272448, 278592, 0, 3, 2, 3, 28
139392, 133248, 66816, 557376, 328000, 1, 2, 3, 3, 26
141312, 148480, 73792, 264448, 139392, 0, 2, 4, 4, 11
141312, 557376, 133248, 264448, 73792, 0, 4, 4, 4, 16
4194432, 76032, 337920, 133248, 139392, 1, 4, 2, 2, 61
272448, 278592, 73792, 66816, 264448, 1, 2, 3, 2, 48
4194432, 139392, 66816, 76032, 272448, 1, 2, 4, 4, 10
66816, 76032, 141312, 4194432, 73792, 0, 3, 1, 2, 34
73792, 337920, 139392, 133248, 327808, 1, 4, 3, 4, 15
272448, 139392, 76032, 327808, 131392, 0, 3, 4, 4, 46
337920, 141312, 139392, 4194432, 264448, 0, 2, 2, 2, 49
328000, 66816, 278592, 76032, 73792, 1, 2, 2, 4, 36
327808, 73792, 139392, 148480, 337920, 1, 2, 2, 3, 30
278592, 337920, 272448, 139392, 73792, 0, 4, 3, 4, 24
76032, 4194432, 131392, 148480, 337920, 0, 2, 4, 3, 27
557376, 141312, 133248, 278592, 337920, 0, 1, 4, 3, 17
141312, 328000, 73792, 278592, 327808, 1, 2, 2, 2, 32
4194432, 337920, 66816, 139392, 133248, 1, 2, 2, 2, 32
264448, 148480, 557376, 328000, 66816, 1, 4, 4, 4, 15
557376, 328000, 278592, 139392, 337920, 0, 2, 4, 4, 17
141312, 272448, 73792, 133248, 264448, 1, 2, 2, 2, 58
328000, 133248, 139392, 131392, 66816, 0, 4, 3, 1, 56
278592, 141312, 4194432, 76032, 133248, 0, 2, 2, 2, 79
76032, 4194432, 557376, 278592, 131392, 0, 4, 2, 3, 34
141312, 557376, 139392, 327808, 133248, 1, 2, 1, 1, 60
76032, 557376, 73792, 327808, 264448, 1, 2, 4, 4, 8
272448, 264448, 66816, 337920, 139392, 0, 4, 2, 3, 28
139392, 557376, 66816, 76032, 337920, 1, 2, 2, 2, 62
278592, 131392, 66816, 272448, 139392, 1, 1, 3, 2, 38
141312, 76032, 73792, 278592, 557376, 1, 4, 3, 4, 15
66816, 264448, 337920, 139392, 4194432, 0, 2, 3, 4, 13
278592, 557376, 337920, 73792, 4194432, 0, 2, 4, 4, 5
131392, 73792, 264448, 557376, 337920, 1, 2, 2, 3, 38
264448, 76032, 73792, 557376, 4194432, 0, 4, 2, 2, 36
327808, 139392, 278592, 76032, 131392, 0, 4, 4, 4, 6
4194432, 337920, 66816, 327808, 557376, 0, 4, 4, 4, 8
264448, 327808, 557376, 328000, 76032, 0, 4, 1, 2, 66
328000, 73792, 264448, 272448, 557376, 0, 1, 4, 3, 35
328000, 4194432, 557376, 148480, 264448, 1, 4, 4, 4, 9
73792, 272448, 133248, 148480, 66816, 1, 4, 4, 3, 15
327808, 131392, 73792, 66816, 264448, 1, 4, 3, 3, 25
557376, 264448, 141312, 139392, 327808, 0, 4, 4, 4, 14
148480, 337920, 131392, 264448, 4194432, 0, 2, 4, 4, 19
133248, 4194432, 327808, 131392, 264448, 1, 2, 4, 3, 48
131392, 264448, 73792, 4194432, 272448, 0, 4, 4, 3, 22
131392, 272448, 133248, 264448, 139392, 0, 4, 4, 4, 24
66816, 139392, 76032, 278592, 337920, 1, 4, 4, 3, 21
278592, 76032, 327808, 264448, 139392, 0, 4, 2, 2, 74
76032, 278592, 131392, 133248, 73792, 1, 2, 3, 3, 28
337920, 278592, 148480, 272448, 139392, 0, 4, 4, 4, 12
264448, 4194432, 557376, 133248, 76032, 0, 2, 4, 4, 13
557376, 264448, 76032, 327808, 66816, 1, 4, 2, 3, 69
4194432, 327808, 328000, 141312, 337920, 1, 2, 1, 0, 70
133248, 272448, 139392, 327808, 73792, 0, 2, 2, 2, 37
141312, 272448, 76032, 557376, 327808, 0, 4, 0, 0, 78
264448, 278592, 73792, 76032, 557376, 1, 4, 2, 3, 43
272448, 148480, 139392, 73792, 131392, 1, 2, 3, 4, 20
66816, 76032, 4194432, 272448, 557376, 1, 1, 1, 2, 30
66816, 4194432, 278592, 139392, 148480, 0, 2, 2, 4, 31
141312, 327808, 66816, 264448, 4194432, 0, 4, 3, 3, 24
131392, 264448, 557376, 73792, 66816, 1, 2, 4, 3, 28
73792, 272448, 328000, 141312, 278592, 0, 4, 3, 2, 34
272448, 337920, 148480, 327808, 264448, 1, 4, 2, 2, 67
139392, 328000, 337920, 148480, 131392, 0, 4, 4, 4, 36
76032, 133248, 278592, 139392, 328000, 0, 2, 3, 3, 31
337920, 141312, 148480, 73792, 557376, 0, 1, 2, 2, 33
73792, 337920, 133248, 272448, 557376, 1, 2, 4, 2, 30
148480, 4194432, 337920, 133248, 141312, 1, 1, 2, 1, 50
131392, 133248, 66816, 76032, 141312, 0, 2, 4, 3, 35
141312, 337920, 133248, 327808, 272448, 0, 2, 3, 3, 47
327808, 264448, 131392, 337920, 557376, 1, 4, 3, 1, 21
76032, 4194432, 327808, 337920, 66816, 1, 4, 1, 1, 73
4194432, 328000, 557376, 327808, 264448, 1, 4, 4, 4, 5
73792, 264448, 278592, 328000, 66816, 1, 2, 2, 4, 40
557376, 133248, 76032, 66816, 272448, 1, 1, 3, 1, 66
76032, 557376, 327808, 4194432, 73792, 0, 2, 4, 4, 5
76032, 66816, 337920, 278592, 328000, 1, 4, 4, 4, 9
557376, 141312, 73792, 272448, 327808, 0, 4, 4, 3, 18
76032, 66816, 278592, 328000, 557376, 0, 2, 4, 4, 11
148480, 337920, 139392, 131392, 4194432, 0, 2, 3, 4, 21
278592, 557376, 4194432, 141312, 327808, 0, 2, 4, 4, 11
141312, 73792, 557376, 4194432, 148480, 1, 2, 3, 3, 34
76032, 278592, 133248, 148480, 328000, 1, 4, 3, 3, 45
272448, 133248, 131392, 264448, 139392, 1, 2, 4, 4, 26
76032, 557376, 66816, 278592, 131392, 0, 4, 1, 2, 32
328000, 66816, 278592, 337920, 264448, 1, 2, 2, 2, 36
73792, 131392, 148480, 328000, 264448, 1, 2, 2, 1, 64
272448, 148480, 557376, 131392, 141312, 0, 4, 3, 3, 32
148480, 337920, 272448, 141312, 131392, 0, 4, 4, 3, 20
66816, 264448, 133248, 73792, 76032, 1, 2, 2, 1, 148
4194432, 278592, 328000, 76032, 327808, 0, 4, 3, 3, 24
141312, 328000, 264448, 278592, 66816, 0, 2, 3, 4, 53
272448, 328000, 76032, 141312, 278592, 1, 4, 2, 2, 57
66816, 557376, 148480, 4194432, 328000, 1, 2, 3, 4, 10
4194432, 133248, 337920, 557376, 73792, 1, 4, 4, 3, 21
141312, 272448, 328000, 337920, 557376, 1, 2, 4, 4, 16
327808, 272448, 328000, 4194432, 131392, 1, 3, 2, 1, 51
337920, 327808, 131392, 133248, 557376, 0, 2, 3, 3, 27
264448, 139392, 4194432, 66816, 557376, 0, 4, 1, 3, 32
328000, 73792, 66816, 139392, 148480, 1, 2, 3, 3, 28
139392, 557376, 4194432, 278592, 337920, 0, 2, 3, 2, 29
148480, 278592, 66816, 328000, 264448, 1, 4, 3, 2, 49
4194432, 73792, 337920, 66816, 264448, 1, 4, 3, 1, 41
66816, 278592, 141312, 328000, 148480, 0, 2, 2, 1, 49
73792, 139392, 327808, 133248, 66816, 0, 2, 3, 3, 45
4194432, 328000, 557376, 148480, 337920, 1, 4, 2, 3, 17
148480, 131392, 76032, 328000, 66816, 1, 2, 1, 3, 52
76032, 141312, 337920, 272448, 133248, 0, 4, 4, 3, 14
139392, 73792, 327808, 328000, 66816, 0, 1, 2, 0, 63
328000, 4194432, 272448, 278592, 264448, 1, 4, 2, 3, 41
133248, 327808, 131392, 272448, 264448, 0, 4, 4, 3, 24
278592, 272448, 327808, 133248, 148480, 0, 4, 2, 3, 64
76032, 557376, 139392, 278592, 327808, 0, 2, 0, 1, 71
328000, 264448, 141312, 278592, 4194432, 0, 1, 2, 3, 23
76032, 131392, 4194432, 327808, 73792, 1, 2, 2, 3, 28
131392, 264448, 73792, 327808, 66816, 0, 2, 4, 4, 23
76032, 148480, 139392, 141312, 133248, 0, 2, 2, 3, 41
131392, 337920, 66816, 327808, 272448, 1, 4, 3, 2, 33
73792, 264448, 141312, 272448, 76032, 0, 2, 3, 4, 15
264448, 557376, 141312, 337920, 133248, 1, 4, 4, 4, 19
264448, 278592, 4194432, 141312, 557376, 1, 1, 1, 0, 52
337920, 557376, 148480, 264448, 327808, 1, 4, 3, 4, 25
328000, 264448, 327808, 272448, 337920, 0, 4, 4, 4, 26
133248, 264448, 278592, 139392, 131392, 1, 2, 2, 3, 42
327808, 73792, 272448, 131392, 4194432, 0, 1, 1, 1, 85
328000, 4194432, 337920, 148480, 76032, 1, 2, 4, 4, 12
278592, 148480, 139392, 557376, 4194432, 1, 2, 3, 4, 12
278592, 139392, 337920, 557376, 131392, 0, 4, 4, 4, 8
272448, 141312, 4194432, 131392, 76032, 1, 2, 4, 4, 6
264448, 4194432, 133248, 272448, 139392, 0, 2, 2, 3, 33
131392, 328000, 272448, 4194432, 76032, 1, 2, 4, 4, 6
141312, 264448, 272448, 76032, 278592, 0, 4, 4, 4, 14
278592, 76032, 557376, 131392, 328000, 1, 2, 4, 4, 6
557376, 4194432, 76032, 328000, 141312, 0, 4, 4, 3, 12
4194432, 131392, 337920, 327808, 66816, 1, 2, 4, 2, 14
4194432, 327808, 278592, 272448, 73792, 0, 2, 2, 2, 37
66816, 327808, 131392, 557376, 278592, 0, 2, 4, 4, 5
148480, 133248, 131392, 76032, 557376, 1, 1, 1, 1, 62
131392, 66816, 278592, 133248, 73792, 1, 2, 3, 3, 22
4194432, 66816, 328000, 148480, 337920, 1, 3, 2, 1, 47
4194432, 148480, 139392, 73792, 328000, 0, 2, 4, 4, 9
131392, 133248, 337920, 66816, 328000, 1, 2, 4, 3, 30
139392, 278592, 328000, 133248, 131392, 1, 4, 3, 3, 29
133248, 557376, 73792, 66816, 141312, 0, 2, 2, 2, 61
327808, 133248, 4194432, 66816, 272448, 0, 2, 4, 4, 17
76032, 131392, 133248, 327808, 139392, 1, 1, 2, 1, 64
272448, 131392, 133248, 557376, 264448, 1, 4, 1, 2, 61
133248, 76032, 131392, 4194432, 141312, 0, 4, 4, 3, 12
133248, 557376, 141312, 139392, 327808, 1, 2, 3, 2, 32
131392, 141312, 148480, 327808, 4194432, 1, 3, 1, 2, 47
337920, 557376, 131392, 4194432, 139392, 0, 2, 4, 4, 15
327808, 272448, 278592, 264448, 131392, 0, 1, 3, 1, 45
