card_0, card_1, card_2, card_3, card_4, start_colour, result, red_pawn_count, blue_pawn_count, num_turns
73792, 66816, 278592, 4194432, 131392, 0, 4, 4, 4, 8
4194432, 139392, 66816, 264448, 148480, 0, 3, 3, 3, 14
139392, 278592, 66816, 133248, 272448, 1, 4, 3, 2, 47
76032, 73792, 139392, 278592, 131392, 0, 2, 4, 3, 23
141312, 76032, 4194432, 133248, 557376, 1, 2, 4, 2, 12
328000, 131392, 139392, 73792, 278592, 0, 4, 3, 4, 18
264448, 328000, 131392, 4194432, 148480, 1, 4, 4, 4, 11
328000, 337920, 272448, 141312, 557376, 1, 4, 4, 4, 7
73792, 327808, 148480, 272448, 66816, 1, 4, 4, 4, 13
66816, 131392, 272448, 141312, 337920, 1, 4, 3, 3, 25
328000, 133248, 73792, 66816, 76032, 1, 4, 4, 4, 7
76032, 4194432, 328000, 272448, 141312, 0, 4, 3, 4, 14
139392, 66816, 264448, 278592, 148480, 1, 4, 3, 3, 23
133248, 337920, 327808, 76032, 557376, 0, 4, 3, 4, 10
272448, 328000, 133248, 139392, 264448, 1, 4, 4, 4, 9
278592, 131392, 141312, 66816, 264448, 1, 4, 3, 3, 33
327808, 76032, 73792, 264448, 4194432, 0, 4, 3, 4, 14
4194432, 328000, 73792, 66816, 272448, 0, 4, 4, 4, 4
4194432, 139392, 133248, 272448, 327808, 0, 4, 4, 4, 6
73792, 76032, 66816, 272448, 139392, 0, 4, 4, 4, 14
327808, 328000, 141312, 264448, 66816, 1, 4, 4, 4, 13
73792, 557376, 328000, 133248, 272448, 1, 4, 3, 4, 27
76032, 131392, 148480, 327808, 337920, 1, 4, 4, 4, 7
141312, 4194432, 337920, 131392, 73792, 1, 2, 4, 4, 14
133248, 328000, 337920, 131392, 139392, 0, 4, 4, 4, 6
131392, 133248, 272448, 4194432, 264448, 1, 4, 4, 4, 5
73792, 131392, 278592, 148480, 272448, 1, 2, 3, 2, 30
76032, 272448, 4194432, 133248, 278592, 1, 4, 4, 3, 9
76032, 264448, 328000, 73792, 557376, 1, 4, 4, 4, 11
139392, 272448, 141312, 66816, 133248, 0, 4, 3, 4, 26
278592, 76032, 272448, 328000, 141312, 0, 4, 3, 3, 38
76032, 4194432, 139392, 133248, 337920, 0, 4, 4, 2, 16
557376, 327808, 272448, 337920, 76032, 1, 4, 3, 4, 15
66816, 4194432, 264448, 141312, 557376, 0, 4, 4, 4, 8
264448, 133248, 66816, 141312, 327808, 0, 4, 4, 4, 10
73792, 148480, 133248, 141312, 557376, 1, 4, 4, 3, 11
141312, 4194432, 148480, 264448, 557376, 0, 3, 4, 4, 12
557376, 328000, 337920, 76032, 131392, 1, 4, 4, 3, 13
141312, 557376, 328000, 278592, 139392, 0, 4, 4, 4, 12
337920, 76032, 264448, 73792, 139392, 1, 4, 4, 4, 9
148480, 327808, 337920, 139392, 278592, 1, 2, 4, 4, 16
76032, 264448, 337920, 141312, 66816, 1, 4, 4, 3, 23
133248, 148480, 557376, 139392, 328000, 0, 2, 4, 4, 15
76032, 327808, 139392, 73792, 272448, 1, 4, 4, 2, 19
148480, 139392, 141312, 272448, 4194432, 0, 4, 2, 4, 30
264448, 328000, 278592, 73792, 131392, 1, 4, 4, 4, 5
141312, 278592, 337920, 4194432, 148480, 1, 2, 4, 4, 10
278592, 76032, 133248, 328000, 557376, 0, 4, 4, 4, 10
327808, 66816, 272448, 139392, 264448, 0, 4, 4, 2, 26
73792, 66816, 148480, 337920, 264448, 1, 3, 4, 4, 11
278592, 76032, 557376, 264448, 73792, 0, 4, 3, 3, 16
131392, 148480, 328000, 278592, 133248, 0, 4, 4, 2, 24
76032, 4194432, 139392, 264448, 278592, 1, 2, 4, 4, 8
278592, 557376, 264448, 141312, 337920, 0, 3, 3, 4, 12
557376, 337920, 328000, 76032, 131392, 0, 4, 4, 3, 12
139392, 337920, 327808, 66816, 73792, 1, 3, 2, 2, 29
148480, 328000, 337920, 264448, 131392, 1, 4, 2, 4, 15
133248, 337920, 141312, 264448, 76032, 0, 4, 4, 3, 14
131392, 4194432, 272448, 264448, 337920, 1, 4, 3, 4, 11
76032, 264448, 131392, 73792, 327808, 1, 3, 4, 1, 17
557376, 141312, 133248, 76032, 272448, 0, 4, 4, 4, 6
557376, 133248, 141312, 148480, 327808, 1, 4, 4, 3, 15
272448, 139392, 327808, 278592, 133248, 0, 4, 2, 4, 26
278592, 139392, 328000, 272448, 557376, 0, 2, 4, 3, 17
4194432, 337920, 131392, 73792, 328000, 0, 4, 4, 4, 8
66816, 4194432, 141312, 76032, 148480, 0, 4, 4, 4, 12
327808, 76032, 139392, 133248, 4194432, 1, 4, 4, 4, 11
278592, 4194432, 66816, 133248, 76032, 0, 2, 2, 3, 21
327808, 264448, 4194432, 337920, 557376, 1, 4, 4, 4, 5
264448, 148480, 4194432, 66816, 76032, 0, 4, 4, 4, 8
148480, 133248, 264448, 557376, 278592, 1, 4, 3, 3, 23
73792, 148480, 328000, 337920, 141312, 0, 4, 4, 4, 12
264448, 4194432, 337920, 148480, 272448, 0, 4, 4, 4, 4
278592, 337920, 148480, 264448, 328000, 0, 4, 4, 3, 8
557376, 264448, 139392, 66816, 272448, 1, 4, 4, 4, 9
148480, 337920, 264448, 133248, 327808, 0, 4, 4, 4, 12
141312, 557376, 4194432, 73792, 272448, 0, 4, 4, 3, 14
66816, 264448, 328000, 139392, 76032, 1, 4, 4, 4, 9
4194432, 337920, 278592, 148480, 557376, 0, 4, 4, 4, 12
278592, 337920, 139392, 141312, 328000, 0, 4, 4, 4, 12
133248, 141312, 148480, 264448, 272448, 1, 4, 4, 4, 7
131392, 139392, 76032, 278592, 327808, 1, 4, 4, 4, 7
328000, 327808, 131392, 337920, 557376, 1, 4, 4, 4, 5
278592, 337920, 327808, 131392, 139392, 0, 4, 3, 4, 8
327808, 278592, 272448, 73792, 133248, 1, 4, 4, 4, 11
66816, 4194432, 278592, 139392, 337920, 1, 2, 3, 4, 18
76032, 557376, 272448, 139392, 278592, 0, 4, 4, 4, 14
327808, 131392, 278592, 73792, 328000, 1, 4, 4, 4, 17
148480, 327808, 557376, 278592, 141312, 1, 4, 4, 4, 9
272448, 337920, 278592, 139392, 264448, 0, 4, 3, 4, 14
148480, 4194432, 139392, 337920, 327808, 0, 4, 4, 3, 12
557376, 264448, 272448, 148480, 337920, 1, 4, 4, 4, 9
278592, 327808, 328000, 141312, 557376, 0, 4, 4, 4, 10
141312, 66816, 148480, 131392, 4194432, 1, 4, 3, 4, 13
148480, 66816, 133248, 328000, 131392, 0, 4, 4, 2, 24
148480, 133248, 328000, 337920, 73792, 1, 4, 3, 4, 17
73792, 328000, 264448, 66816, 278592, 0, 4, 4, 3, 16
328000, 327808, 73792, 66816, 141312, 1, 4, 4, 4, 5
131392, 328000, 264448, 139392, 133248, 0, 4, 4, 4, 14
264448, 141312, 76032, 327808, 131392, 0, 4, 3, 4, 36
